                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.1031,                 1.3257,                 2.1004,                 1.0707,                0.41569,                0.53334,                0.35863,                 0.2014,                0.41569,                0.53334,                0.35863,                0.22475,                 1.4094,                 3.0805,                  3.932,                 1.4881,              0.0007624,              0.0007624,              0.0007624
                     75,                 1.0716,                 1.2938,                 1.7752,                 1.0804,                0.41569,                0.53334,                0.35863,                 0.2014,                0.41569,                0.53334,                0.35863,                0.22475,                 1.4094,                 3.0805,                  3.932,                 1.4881,              0.0007591,              0.0007591,              0.0007591
                     76,                 1.2488,                 1.5367,                 2.4472,                 1.3374,                0.53063,                0.29893,                0.29289,                0.17723,                0.53063,                0.29893,                0.34239,                0.20972,                  1.381,                 3.1043,                 3.9889,                 1.4773,              0.0007558,              0.0007558,              0.0007558
                     77,                 1.2315,                 1.8528,                 2.5128,                 1.3324,                0.53063,                0.29893,                0.29289,                0.17723,                0.53063,                0.29893,                0.34239,                0.20972,                  1.381,                 3.1043,                 3.9889,                 1.4773,              0.0007525,              0.0007525,              0.0007525
                     78,                 1.0112,                 1.7575,                 2.1762,                 1.0542,                0.54064,                0.37304,                0.35414,                0.17074,                0.54064,                0.37304,                0.35414,                0.20127,                 1.3265,                 3.1322,                 3.9971,                 1.3803,              0.0007492,              0.0007492,              0.0007492
                     79,                0.99873,                 1.3131,                 1.9576,                 1.0652,                0.54064,                0.37304,                0.35414,                0.17074,                0.54064,                0.37304,                0.35414,                0.20127,                 1.3265,                 3.1322,                 3.9971,                 1.3803,              0.0007459,              0.0007459,              0.0007459
                     80,                0.96108,                 1.3275,                 2.0404,                   1.05,                0.56375,                  0.397,                0.37202,                0.23394,                0.56375,                  0.397,                0.37202,                0.21289,                 1.2036,                 3.1323,                 3.7901,                 1.3081,              0.0007426,              0.0007426,              0.0007426
                     81,                0.91666,                 1.3884,                 1.8153,                0.97699,                0.56375,                  0.397,                0.37202,                0.23394,                0.56375,                  0.397,                0.37202,                0.21289,                 1.2036,                 3.1323,                 3.7901,                 1.3081,              0.0007393,              0.0007393,              0.0007393
                     82,                 1.0879,                 1.1516,                 1.9254,                 1.0574,                0.38378,                0.41106,                0.33302,                0.19091,                0.20146,                    0.5,                0.28327,                0.16586,                 1.2785,                 3.3044,                 3.7769,                 1.3328,               0.000736,               0.000736,               0.000736
                     83,                 1.1518,                  1.283,                 2.0229,                 1.1155,                0.38378,                0.41106,                0.33302,                0.19091,                0.20146,                    0.5,                0.28327,                0.16586,                 1.2785,                 3.3044,                 3.7769,                 1.3328,              0.0007327,              0.0007327,              0.0007327
                     84,                 1.0365,                 1.5507,                 2.1567,                 1.1263,                0.12367,                    0.6,                0.27197,                0.15856,                0.12367,                    0.6,                0.27197,                0.15135,                  1.361,                 3.4438,                 3.9054,                 1.3903,              0.0007294,              0.0007294,              0.0007294
                     85,                  1.095,                 1.6069,                 2.0018,                 1.0759,                0.12367,                    0.6,                0.27197,                0.15856,                0.12367,                    0.6,                0.27197,                0.15135,                  1.361,                 3.4438,                 3.9054,                 1.3903,              0.0007261,              0.0007261,              0.0007261
                     86,                 1.1012,                  1.284,                 2.3048,                 1.2836,                0.00672,                    0.8,                0.28192,                0.16892,                 0.0872,                0.41371,                0.34808,                0.17604,                 1.3738,                 3.3258,                 3.8816,                 1.4443,              0.0007228,              0.0007228,              0.0007228
                     87,                 1.1735,                 1.4962,                 1.9616,                  1.031,                0.00672,                    0.8,                0.28192,                0.16892,                 0.0872,                0.41371,                0.34808,                0.17604,                 1.3738,                 3.3258,                 3.8816,                 1.4443,              0.0007195,              0.0007195,              0.0007195
                     88,                  1.143,                 1.3292,                 2.4009,                  1.187,                0.90718,                    0.2,                0.27718,                0.17544,                0.90718,                    0.2,                0.27718,                 0.1525,                 1.3699,                 3.4065,                 3.8176,                 1.4355,              0.0007162,              0.0007162,              0.0007162
                     89,                0.94383,                 1.0692,                 2.7716,                 1.0726,                0.90718,                    0.2,                0.27718,                0.17544,                0.90718,                    0.2,                0.27718,                 0.1525,                 1.3699,                 3.4065,                 3.8176,                 1.4355,              0.0007129,              0.0007129,              0.0007129
                     90,                  1.035,                 1.2816,                 1.7883,                 1.0663,                0.93265,                0.19794,                0.28553,                 0.1773,                0.93265,                0.19794,                0.26895,                0.16518,                 1.3704,                 3.3383,                 3.7494,                 1.3726,              0.0007096,              0.0007096,              0.0007096
